name,online_order,book_table,rate,votes,approx_cost,listed_in
Sri Sai Tiffannies,No,No,3.3,0,150,Dining
Hotboxit,No,No,3.8,36,400,Dining
K27 - The Pub,No,No,3.1,30,900,Dining
Sea Green Cafe,No,No,3.3,4,500,Cafes
Grand Village,No,No,3.8,166,600,Buffet
Ruchi Maayaka,No,No,3.3,8,100,Dining
Kaumudis Juoice,No,No,3.3,0,150,Dining
Darbar,No,No,3.0,98,800,Dining
McDonald's,Yes,No,3.9,286,500,Dining
Catch-up-ino,Yes,No,3.9,133,800,Cafes
Village Caf̩,Yes,No,4.1,402,500,Cafes
Aarush's Food Plaza,No,No,3.4,0,200,Dining
The Big O Bakes,No,No,4.0,66,300,Dining
Darkolates,No,No,3.3,0,200,Dining
Banashankari Donne Biriyani,Yes,No,3.8,104,300,Dining
Thanco's Natural Ice Creams,No,No,3.2,9,300,Dining
Swaada Healthy Kitchen,No,No,3.3,0,350,Dining
Naveen Kabab & Biriyani Mane,No,No,3.2,9,300,Dining
Jalsa,Yes,Yes,4.1,775,800,Buffet
LSD Cafe,No,No,2.9,84,700,other
Kabab Magic,Yes,No,4.1,1720,400,Dining
Cuppa,No,No,3.3,23,550,Cafes
Chaatimes,Yes,No,3.8,133,200,Dining
Peppy Peppers,No,No,4.2,244,800,other
Hide Out Cafe,No,No,3.7,31,300,Cafes
CAFE NOVA,No,No,3.2,11,600,Cafes
My Tea House,Yes,No,3.6,62,600,Cafes
Kulfi & More,No,No,3.4,0,150,Dining
Chill Out,No,No,3.8,0,100,Dining
Melting Melodies,No,No,3.3,0,100,Dining
Onesta,Yes,Yes,4.6,2556,600,other
Cafe Vivacity,Yes,No,3.8,90,650,Cafes
Mane Thindi,No,No,3.7,130,200,Dining
Maruthi Davangere Benne Dosa,Yes,No,4.0,17,150,Dining
Sugar Rush,No,No,3.8,39,300,Dining
Cake Bite,No,No,3.4,0,300,Dining
Recipe,Yes,No,4.0,804,450,Dining
Nandhini Deluxe,No,No,2.6,283,600,Dining
Hari Super Sandwich,No,No,3.2,0,200,Dining
Ovenstory Pizza,Yes,No,3.9,172,750,Dining
Meghana Foods,Yes,No,4.4,4401,600,Dining
Chatar Patar,No,No,3.7,65,300,Dining
Chinese Kitchen,Yes,No,3.8,58,150,Dining
Banashankari Nati Style,No,No,2.9,0,350,Dining
Kolbeh,No,No,3.7,22,500,Dining
Biryanis And More,Yes,No,4.0,618,750,Dining
Timepass Dinner,Yes,No,3.8,286,600,Buffet
Bengaluru Coffee House,Yes,No,4.1,201,300,Dining
Ayda Persian Kitchen,No,No,3.7,39,950,Dining
Tasty Bytes,Yes,No,3.1,245,300,Dining
Behrouz Biryani,Yes,No,3.9,230,650,Dining
Kadalu Sea Food Restaurant,Yes,No,3.8,153,500,Dining
Devanna Dum Biriyani Centre,Yes,No,3.6,28,300,Dining
Faasos,Yes,No,4.2,415,500,other
Atithi Point Ande Ka Funda,No,No,3.1,29,150,Dining
Onesta,Yes,Yes,4.6,2556,600,Cafes
Domino's Pizza,Yes,No,3.9,540,800,Dining
The Good Bowl,Yes,No,3.6,6,500,Dining
Vi Ra's Bar and Restaurant,No,No,3.3,62,800,Dining
Vaishali Deluxe,No,No,3.8,42,700,Dining
Thanishka Nati And Karavali Style,No,No,3.1,0,400,Dining
Swathi Cool Point,No,No,4.1,0,200,Dining
Chickpet Donne Biryani House,No,No,3.7,21,250,Dining
Penthouse Cafe,Yes,No,4.0,324,700,other
Caf-Eleven,No,No,4.0,424,450,Cafes
Hotel Andhra Speices,No,No,2.9,0,250,Dining
Coffee Bytes,No,No,3.1,6,100,Dining
Addhuri Udupi Bhojana,No,No,3.7,88,300,Buffet
Kirthi's Biryani,Yes,No,3.8,144,700,Cafes
Empire Restaurant,Yes,No,4.4,4884,750,other
Spicy Tandoor,No,No,4.1,0,150,Dining
Mohitesh Hut Roll,No,No,3.3,0,150,Dining
Rosewood International Hotel - Bar & Restaurant,No,No,3.6,8,800,Buffet
Katriguppe Donne Biryani,No,No,3.2,4,300,Dining
Kidambi's Kitchen,No,No,3.5,52,300,Dining
San Churro Cafe,Yes,No,3.8,918,800,Buffet
Jeet Restaurant,No,Yes,4.0,808,850,Dining
Roving Feast,No,No,4.0,1047,450,Dining
Parjanya Chat Zone,No,No,3.3,17,200,Dining
Petoo,No,No,3.7,21,450,Dining
Just Bake,No,No,3.4,8,400,Dining
Kitchen Garden,Yes,No,3.6,244,300,Dining
Dharwad Line Bazaar Mishra Pedha,No,No,3.4,0,150,Dining
Goa 0 Km,Yes,Yes,3.6,163,800,Dining
Anna Kuteera,Yes,No,4.0,771,450,Dining
Upahar Sagar,No,No,3.8,39,350,Dining
XO Belgian Waffle,Yes,No,3.7,17,400,Dining
Sunsadm,No,No,3.7,0,400,Dining
Havyaka Mess,No,No,3.9,28,300,Dining
Five Star Chicken,No,No,3.6,55,200,Dining
Me And My Cake,No,No,3.7,0,500,Dining
Beijing Bites,Yes,No,3.7,679,850,Dining
Dessert Rose,No,No,3.5,7,500,Dining
Coffee Shopee,No,No,3.4,0,250,Dining
Woodee Pizza,Yes,No,3.7,180,500,Cafes
Wamama,Yes,Yes,4.2,354,800,other
Om Sri Vinayaka Chats,No,No,3.6,0,500,Dining
Sweet Truth,Yes,No,3.9,35,500,Dining
Gawdaru Mane Beriyani,No,No,3.3,0,300,Dining
Sri Basaveshwar Jolada Rotti Oota,No,No,3.4,0,150,Dining
Szechuan Dragon,Yes,No,4.2,1647,600,Dining
Sri Murari Family Restaurant,No,No,2.9,0,250,Dining
Spice Elephant,Yes,No,4.1,787,800,Buffet
Corner House Ice Cream,No,No,4.3,345,400,Dining
Roll Magic Fast Food,No,No,3.4,0,200,Dining
Floured-Baked With Love,No,No,3.8,45,400,Dining
Polar Bear,Yes,No,3.8,71,400,Dining
Wood Stove,No,No,3.4,0,150,Dining
Krishna Sagar,No,No,3.5,31,200,Dining
Rolls On Wheels,No,No,3.6,299,300,Dining
New Mangalore Lunch Home,No,No,3.3,7,200,Dining
Vijayalakshmi,Yes,No,3.9,47,200,Dining
The Vintage Cafe,Yes,No,3.0,62,400,Cafes
The Biryani Cafe,No,No,4.1,520,300,Dining
Spice 9,No,No,3.4,8,300,Dining
San Churro Cafe,Yes,No,3.8,918,800,Cafes
