iter	RMSE
0	0.3756190186
1	0.3697462524
2	0.3637524094
3	0.3584605394
4	0.3532658146
5	0.347917888
6	0.3439936668
7	0.3392426453
8	0.3348482249
9	0.330520828
10	0.326304975
11	0.3223119725
12	0.3196764384
13	0.3156162116
14	0.3134353912
15	0.3089972892
16	0.3047726152
17	0.3029360273
18	0.3002039202
19	0.2973351278
20	0.2940101342
21	0.2915871214
22	0.2896582416
23	0.2864573315
24	0.2836784899
25	0.2807715709
26	0.2784405897
27	0.2766941308
28	0.2745364799
29	0.272696938
30	0.2709896626
31	0.2705257189
32	0.2685747246
33	0.2669597257
34	0.2649420925
35	0.2633879028
36	0.2610134087
37	0.2584951479
38	0.2567808501
39	0.2556613949
40	0.2533910199
41	0.2519543505
42	0.2504677168
43	0.2492597336
44	0.2477052925
45	0.2459123255
46	0.2437580686
47	0.2430240214
48	0.2412547889
49	0.2397976708
50	0.2382096183
51	0.2366623959
52	0.2354102655
53	0.2338580365
54	0.2325810724
55	0.2310047887
56	0.2299111763
57	0.2293900822
58	0.2290725985
59	0.2275684404
60	0.2262426088
61	0.2249466599
62	0.223925002
63	0.2227505015
64	0.2223329432
65	0.2204132988
66	0.2197969581
67	0.218626793
68	0.2178769699
69	0.2167178579
70	0.215726263
71	0.2153798724
72	0.2142570852
73	0.2138694134
74	0.2124973169
75	0.211415475
76	0.2102206535
77	0.2093881882
78	0.2084957538
79	0.2082333447
80	0.2076155835
81	0.2068014504
82	0.2057898692
83	0.2042175774
84	0.2033867515
85	0.2024072877
86	0.2019348434
87	0.2014838868
88	0.2002627421
89	0.1995163094
90	0.1987299076
91	0.1985708553
92	0.1983817159
93	0.1971610366
94	0.196000776
95	0.1950786594
96	0.1944082383
97	0.1930464267
98	0.1923758091
99	0.1916909664
