iter	Passed	Remaining
0	0	45
1	3	166
2	3	129
3	5	124
4	9	175
5	9	149
6	9	130
7	10	120
8	13	139
9	14	127
10	16	135
11	19	145
12	20	135
13	21	132
14	21	123
15	23	122
16	23	116
17	24	110
18	27	115
19	27	109
20	30	114
21	30	108
22	30	103
23	32	102
24	35	106
25	38	108
26	38	103
27	38	99
28	39	95
29	39	93
30	40	90
31	40	86
32	42	85
33	42	83
34	44	83
35	45	81
36	48	83
37	50	81
38	50	79
39	51	76
40	52	75
41	54	75
42	57	76
43	57	73
44	58	71
45	61	71
46	64	72
47	64	69
48	67	70
49	70	70
50	72	69
51	75	69
52	78	69
53	80	68
54	81	66
55	85	66
56	87	66
57	87	63
58	88	61
59	91	60
60	94	60
61	96	59
62	98	58
63	100	56
64	100	54
65	104	53
66	104	51
67	107	50
68	108	48
69	111	47
70	113	46
71	113	44
72	116	43
73	116	41
74	117	39
75	119	37
76	122	36
77	123	34
78	124	33
79	124	31
80	126	29
81	129	28
82	131	27
83	133	25
84	135	23
85	136	22
86	137	20
87	137	18
88	140	17
89	143	15
90	145	14
91	146	12
92	146	11
93	149	9
94	150	7
95	153	6
96	154	4
97	157	3
98	160	1
99	162	0
