iter	RMSE
0	0.3788345191
1	0.3747454393
2	0.3710605911
3	0.3669954641
4	0.3638591241
5	0.3603541062
6	0.3569370699
7	0.3537253313
8	0.3501760018
9	0.347302122
10	0.3441361266
11	0.3410683658
12	0.3387416139
13	0.3364940356
14	0.3341817367
15	0.3324571859
16	0.3298426915
17	0.3277276717
18	0.325051737
19	0.3229678892
20	0.3213267309
21	0.319126468
22	0.3172656539
23	0.3157599215
24	0.3140072306
25	0.311539191
26	0.3095415035
27	0.30841029
28	0.3070510521
29	0.3054944685
30	0.3040462635
31	0.3023254306
32	0.3006115955
33	0.2988564122
34	0.2974646899
35	0.2958019074
36	0.2941421353
37	0.2931997597
38	0.2919916317
39	0.2905267128
40	0.2890438891
41	0.28742598
42	0.2861613447
43	0.2847118183
44	0.2831104663
45	0.2818966784
46	0.2805740544
47	0.2796078407
48	0.2781638511
49	0.2771118946
50	0.2756895817
51	0.2751333158
52	0.2740804425
53	0.2738389551
54	0.2728978682
55	0.2721787156
56	0.2713711081
57	0.2704566031
58	0.2691470541
59	0.2680224508
60	0.2675819528
61	0.2661863501
62	0.2647698094
63	0.2645597523
64	0.263661014
65	0.2633933006
66	0.2629548586
67	0.2624188831
68	0.261313032
69	0.2604958473
70	0.2597497716
71	0.2589435617
72	0.2580625126
73	0.2575133215
74	0.2567798932
75	0.2561071028
76	0.2553139818
77	0.2550764412
78	0.2545481973
79	0.2539653016
80	0.2531385983
81	0.2528337018
82	0.252349402
83	0.251327739
84	0.250703074
85	0.2501104994
86	0.2496763024
87	0.2492855409
88	0.2484585445
89	0.2480857351
90	0.2470586172
91	0.2464843914
92	0.2461986598
93	0.2453078613
94	0.2447605864
95	0.2437283975
96	0.2432395077
97	0.2428988333
98	0.242560026
99	0.2417858898
100	0.2411666306
101	0.2407685377
102	0.2402879202
103	0.2397623597
104	0.239329542
105	0.2389391894
106	0.2385766829
107	0.2380086241
108	0.2378565566
109	0.237526978
110	0.2371132111
111	0.2366414235
112	0.2363410589
113	0.2359750475
114	0.235649728
115	0.2350113568
116	0.2346166828
117	0.234276531
118	0.2337901299
119	0.2332210812
120	0.2326954102
121	0.2322239075
122	0.2318487263
123	0.2312111592
124	0.230900886
125	0.230501293
126	0.2301624379
127	0.2298810512
128	0.229388406
129	0.2290279525
130	0.2288204949
131	0.2285156941
132	0.2282093596
133	0.2278389262
134	0.2276893218
135	0.2273688391
136	0.2268282057
137	0.2263703695
138	0.226170656
139	0.2258562005
140	0.2256906611
141	0.2254156804
142	0.2251238881
143	0.2246045817
144	0.2242175657
145	0.2239917078
146	0.2235811876
147	0.2231110726
148	0.2227980331
149	0.2224481744
150	0.2219561593
151	0.2212796737
152	0.2210417986
153	0.2208166804
154	0.2204096506
155	0.2200794909
156	0.2197926072
157	0.2193581176
158	0.2190743528
159	0.2185596296
160	0.2181395479
161	0.217881413
162	0.217584333
163	0.2171352266
164	0.2168852068
165	0.2166826363
166	0.2162875584
167	0.2159424221
168	0.2157072947
169	0.2153802635
170	0.2150548087
171	0.2147248615
172	0.2144439018
173	0.2141862091
174	0.2138311003
175	0.2134990853
176	0.212615103
177	0.2124013187
178	0.2119231899
179	0.2115468424
180	0.2111299115
181	0.2106713628
182	0.2104029243
183	0.2100677179
184	0.2097729635
185	0.2090943605
186	0.2087728376
187	0.208381996
188	0.2081247802
189	0.2077396883
190	0.2074501613
191	0.2071479799
192	0.2066818151
193	0.2063168052
194	0.2059388498
195	0.2056387983
196	0.2053518467
197	0.2049621173
198	0.2043671969
199	0.2039940249
200	0.2035663166
201	0.2032506415
202	0.2029253743
203	0.2025746259
204	0.2021545421
205	0.2017868761
206	0.2014388406
207	0.2011199267
208	0.2007548203
209	0.2004732763
210	0.2001447418
211	0.1998419463
212	0.1995380832
213	0.1992087116
214	0.1989297659
215	0.1986011896
216	0.1982317135
217	0.1979136388
218	0.1975587194
219	0.197232984
220	0.1968902769
221	0.1965540189
222	0.1962259232
223	0.1958841521
224	0.1955203691
225	0.195175911
226	0.1948300377
227	0.1944867026
228	0.1941463427
229	0.19381217
230	0.1935038082
231	0.1931709016
232	0.1928166836
233	0.1925041296
234	0.1921915688
235	0.1918831525
236	0.1915893338
237	0.1912515963
238	0.1909586074
239	0.1906687293
240	0.1903400095
241	0.190022897
242	0.1897283948
243	0.1894158532
244	0.1891108691
245	0.1888035731
246	0.1884928231
247	0.1881943299
248	0.1878904092
249	0.187597514
250	0.1872972613
251	0.1869930201
252	0.1866961825
253	0.1863988657
254	0.1861080649
255	0.1858169484
256	0.1855293429
257	0.1852586081
258	0.184985632
259	0.184700593
260	0.1844158177
261	0.1841349328
262	0.1831975529
263	0.1829181597
264	0.1826424225
265	0.1823771592
266	0.1821088464
267	0.1818387864
268	0.1815683135
269	0.1812945455
270	0.1806430616
271	0.179991607
272	0.1797230043
273	0.1794585578
274	0.1791921083
275	0.1789342021
276	0.1786739843
277	0.1784172362
278	0.1781574623
279	0.1778987818
280	0.1769573847
281	0.1766988989
282	0.1764451079
283	0.1761969068
284	0.1759427149
285	0.1756920499
286	0.1754438051
287	0.1751960801
288	0.1749489335
289	0.1747021198
290	0.1744561399
291	0.1742124333
292	0.1739758192
293	0.1737356745
294	0.1731359577
295	0.1728937128
296	0.1726537237
297	0.1720769579
298	0.1718369951
299	0.1715985974
300	0.1713611594
301	0.1711248996
302	0.1708970044
303	0.170167436
304	0.1699364045
305	0.1697040204
306	0.1694732285
307	0.1692435726
308	0.1685168857
309	0.1682734985
310	0.1680470535
311	0.167826928
312	0.1676071353
313	0.167067169
314	0.1668442224
315	0.1666208725
316	0.1663993193
317	0.166178964
318	0.1659598404
319	0.1657419628
320	0.1655223562
321	0.1650032396
322	0.1647857098
323	0.1645743078
324	0.1643574939
325	0.1641420733
326	0.1639282862
327	0.1637152918
328	0.1635020493
329	0.1632933981
330	0.1630829162
331	0.1628721911
332	0.1626621254
333	0.1619915541
334	0.161784278
335	0.1615759312
336	0.1613686676
337	0.1611630732
338	0.1609583568
339	0.1607535197
340	0.160549513
341	0.1603471039
342	0.1601445728
343	0.1599434495
344	0.1597458158
345	0.1595454506
346	0.1593490459
347	0.159150228
348	0.1589519243
349	0.1587577949
350	0.1585614222
351	0.158071575
352	0.1578749542
353	0.1576792369
354	0.1568708162
355	0.1566794685
356	0.156489224
357	0.156297033
358	0.1561087604
359	0.1559170424
360	0.1557269966
361	0.1555396678
362	0.1553504011
363	0.155161569
364	0.1549761721
365	0.1547911075
366	0.1546040851
367	0.154420327
368	0.154234405
369	0.1534696096
370	0.1532868709
371	0.1526646023
372	0.1524803567
373	0.1522993453
374	0.1520584252
375	0.1518791157
376	0.1516977535
377	0.1515165003
378	0.1513361317
379	0.1511564988
380	0.1507153587
381	0.1505348009
382	0.1503563283
383	0.1501393703
384	0.149964376
385	0.1497899002
386	0.1493641391
387	0.1491869431
388	0.1490145164
389	0.1488423375
390	0.1486675387
391	0.1482583201
392	0.1480870955
393	0.1479128863
394	0.1477398077
395	0.1475672873
396	0.1473990121
397	0.147227767
398	0.147056731
399	0.1468867392
400	0.1467202371
401	0.1465508692
402	0.1463823982
403	0.1462172712
404	0.1460007755
405	0.1456042037
406	0.1454362173
407	0.1452693203
408	0.1451018882
409	0.1449391509
410	0.1447742117
411	0.1446127915
412	0.1444002148
413	0.1442365914
414	0.1440732355
415	0.1439131573
416	0.1437508614
417	0.1435893598
418	0.143403931
419	0.1432450793
420	0.1430848319
421	0.1429270778
422	0.1427675266
423	0.1426087012
424	0.1424523266
425	0.142296426
426	0.1421387823
427	0.1419359217
428	0.1417809808
429	0.1416245232
430	0.1414708174
431	0.1413174592
432	0.1411645143
433	0.1410098313
434	0.1408559212
435	0.1407042968
436	0.1405529939
437	0.1404024043
438	0.1402501738
439	0.1400981863
440	0.1399487899
441	0.1397584447
442	0.1396094706
443	0.139461061
444	0.1393112036
445	0.1391636232
446	0.1390163197
447	0.1388695993
448	0.1387234427
449	0.1385755225
450	0.1384027793
451	0.1377719023
452	0.137626373
453	0.1374538518
454	0.1373092615
455	0.1371653009
456	0.1370203115
457	0.1368392653
458	0.1366961584
